NFKBIA,0.0
PLAU,3.755169766621655e-250
CXCL8,4.6174843006275086e-222
CXCL3,1.1366659929590276e-191
NCOA7,4.76414877379688e-201
KLF6,1.09341913982624e-191
ISG15,4.639362656762662e-181
CXCL2,8.031582773717238e-174
TNFAIP3,2.856611756687483e-172
IRF1,5.3814030528839595e-173
CXCL1,1.980090339281076e-177
EGR1,3.3666845479886574e-175
GADD45A,6.999709373877726e-173
MX1,4.732178395401692e-162
NFKBIZ,1.2068405152846763e-166
PPP1R15A,1.355155556557371e-165
JUN,6.990274215328525e-168
IRF7,1.3347140031582235e-156
IFIT1,3.963658221429583e-147
IFI27,1.3194384771073136e-153
DUSP8,4.17636117141774e-145
PMAIP1,2.2650687096817562e-150
ARRDC3,1.024022958687894e-146
EDN1,4.2257947570483145e-141
IER2,8.863737662078905e-152
RND3,1.7963978853003738e-145
IFIT3,4.9844908902350544e-133
IFI44L,1.0643560016693031e-128
AC127526.5,1.0498740634218417e-126
ELF3,2.0682035050234698e-132
PIM3,8.200158350079932e-126
GADD45B,2.2595032120301623e-124
ATF3,9.089943468293924e-122
RAB3IP,3.878376108824396e-121
EPC1,1.3469664405032358e-122
ZC3H12A,6.677238567304e-118
GPBP1,1.3782783142619928e-119
SLC3A2,6.1682910845933016e-117
DAPP1,1.150281120327081e-114
DDX58,1.6171811495442892e-107
IFI6,8.96533196100428e-109
TM4SF1,4.9935718100913784e-114
FOSL1,5.368731509463441e-108
XAF1,2.3187152864694323e-105
ISG20,7.983340635021451e-107
AP003498.2,7.702697813285904e-105
CSRNP1,1.8738587693314315e-103
N4BP1,3.712271882008449e-107
CHD2,2.9189910648386053e-107
SOX9,2.3747349841479226e-105
IL32,2.7054159934975e-101
HES1,1.6133046538441423e-106
RNF213,9.766243584226133e-104
MX2,1.3688235136745832e-99
DDIT3,8.823572698173461e-104
EIF2AK2,1.8142852767575445e-104
CFLAR,2.3995805605495537e-104
TNFRSF12A,6.421597618614907e-104
OAS3,2.221809835394465e-99
CCNI,2.9023292759768685e-103
RSRC2,1.9266891372161916e-102
EPSTI1,9.592848042943752e-97
IFI44,2.350138076210815e-99
ANKLE2,8.223024236239797e-100
CHD9,6.457922830753394e-100
AL627171.2,2.761905420415988e-98
CCNL1,5.218088312770203e-100
HNRNPDL,3.108454696583624e-100
TXNIP,8.051817225125917e-100
BIRC3,5.858876382296112e-94
CLK1,8.278275417719364e-98
IRF9,2.0143858387659803e-95
LRRFIP2,2.2364887964943185e-95
BHLHE40,1.2829703242076102e-93
RUNX1,9.067577914722288e-93
SAMD9,4.7620717180200514e-92
TJP1,4.092821148024818e-93
HDAC9,2.293205560115359e-87
IFIH1,1.5592016152046254e-86
TGIF1,5.244027312974335e-90
LINC01578,5.4102935834424546e-90
NR3C1,2.2766924848608957e-85
CCN1,3.346156856383062e-85
ETS2,8.487311852711782e-86
CCL20,8.340677512323402e-83
RIOK3,1.5015790085068933e-85
HELZ2,2.3125565179327177e-83
TAF1D,1.099270506598474e-84
REL,1.0980227149819431e-83
SP100,2.7949172451408696e-84
CREB5,1.3827042504180296e-80
PARP14,1.5260569998476207e-81
OAS2,8.124352370028162e-81
IFNGR2,1.693101546092777e-82
CLK4,5.448721589251573e-81
RIPK2,1.3872008969546117e-80
IFIT2,1.1144605762443784e-77
USP18,3.933007170943782e-78
DHX36,1.51823277349501e-81
YTHDC1,4.772639573791387e-81
ICAM1,6.422803381222468e-78
OPTN,1.6708098303267883e-80
KLHL5,6.260120078040757e-79
TENT5A,2.183267561320464e-78
SOX4,7.886098678260554e-80
SEMA3A,7.871308750660696e-79
HIVEP2,1.569222142764609e-76
HLA-B,2.735759824602798e-79
IFITM1,7.174692003571902e-77
ELF1,6.370889889621042e-79
SHROOM3,7.596232620689262e-77
TRAF4,1.1163525953977838e-78
NFKB2,2.5948057266806167e-76
OASL,9.802767442366873e-75
ARID4B,1.5215754854212685e-77
BHLHE41,4.465292923159213e-74
PML,2.734802202617899e-76
TRIP11,1.3553610833280555e-76
STAT1,1.9072943747441517e-76
RELB,2.79468159460248e-75
RSAD2,1.3674099906578138e-73
AF117829.1,1.2723668165708212e-73
AREG,7.670216676689971e-76
IER3,3.5885106996892136e-75
CNOT4,5.849977388153597e-73
BCL3,5.04153973491937e-72
ANKRD11,3.1500099902747e-73
KMT2E,2.7328840686443824e-72
DUSP1,1.4108311598669308e-72
BCL10,4.1527336925241926e-72
YRDC,7.496967799467513e-72
THAP1,4.654300842478292e-71
HSH2D,1.2356921886960652e-70
AC068587.4,4.5734463970114234e-70
EFNA1,5.714057501400967e-70
SAMD9L,1.1115388918012631e-68
MET,2.767243428688902e-71
TFAP2A,5.252249377924496e-71
STX19,5.562605091080679e-69
CMPK2,6.100866076618252e-69
AFDN,5.1722871287591594e-71
TIPARP,3.416874832063453e-70
AGO2,1.6775508177078789e-69
RASSF9,2.1473886499804443e-69
HLA-F,3.2371641281505824e-69
MALAT1,2.2428332547391576e-70
CYTOR,1.2687931119205665e-69
MACC1,6.194655744916815e-70
CLDN1,1.0154593977464658e-69
RAB24,3.845838729813142e-68
NEDD4L,4.822381200605105e-69
NR1D1,1.8276449520395065e-67
DDX60L,8.517033868225403e-67
PRRG4,1.0755585308679795e-68
JMJD1C,1.3565540231018118e-68
OAS1,2.1578188420653127e-68
PPM1K,9.620618803087884e-68
TNFRSF10B,4.435151625344331e-68
BAZ2B,9.012429629036597e-68
ZNF267,7.427334325843992e-67
PARP9,3.303604086201935e-67
AMOTL2,1.255579251059955e-66
NFKB1,4.759761169838445e-67
