IER2,5.233672340753631e-146
ISG15,7.285809842400044e-136
IFI27,2.711135934730017e-130
EGR1,8.758084020181295e-129
NFKBIA,9.82075126966734e-124
JUN,9.540531166154862e-116
MX1,4.65154505326784e-112
KLF6,8.934523930145663e-102
IFI6,4.100454504284427e-90
IFIT3,5.126627284147204e-89
IFIT1,1.4503096156170413e-87
PPP1R15A,1.4382087211460343e-82
ELF3,6.673099829073702e-82
IFI44L,2.5593310494386924e-78
HES1,2.7593193825899878e-73
IRF7,2.593264398577944e-71
MX2,5.014151295325979e-71
TNFAIP3,6.98507938122335e-70
IER3,1.0894596384552225e-70
RNF213,1.0352023888049727e-68
SLC3A2,1.3272269919451438e-68
XAF1,4.364272791993247e-68
NR1D1,1.2696182311761254e-65
NEAT1,1.9325454401274436e-66
PMAIP1,3.192446395618539e-65
GADD45A,9.383245484918094e-65
JUNB,1.023446295156839e-64
DDIT3,3.527237955976043e-64
OAS3,3.963812778518364e-64
IRF1,2.1524083964207772e-63
PLAU,1.6037170258331028e-61
STAT1,1.5822000065263806e-60
OAS1,5.002738812060704e-60
SQSTM1,8.131787939363564e-60
CCNL1,1.2628692966649916e-58
DDX58,4.315099024926901e-58
RSAD2,5.849954827531172e-57
SAMD9,5.288012056646506e-57
ISG20,1.1758270849644572e-56
OAS2,3.294186816436219e-56
IFIT2,1.0212936302194933e-54
PIM3,1.9980494935616625e-54
EIF2AK2,3.244612809022357e-54
NFKBIZ,6.841222120316863e-54
RND3,4.784307044348293e-54
MTRNR2L8,4.052172676619212e-54
PARP14,5.288113336846404e-52
HNRNPDL,4.820401446254473e-52
IFI35,3.3413522346730243e-51
DUSP1,4.15344901481182e-51
FOSL1,5.132765870830059e-51
EPSTI1,7.047992885458149e-51
BST2,7.042369330954613e-50
AL627171.2,1.6909631666654302e-49
ZNFX1,3.471131373380162e-49
UBE2L6,4.181248032906935e-49
ZC3H12A,1.427898162290106e-48
RSRC2,8.14652116150584e-49
IFI44,1.95246261013548e-48
GADD45B,2.097826746706998e-48
HELZ2,7.948557893689319e-48
GPBP1,2.3008477956623116e-47
CSRNP1,7.587087044710533e-47
IFITM3,4.827088584153003e-47
IFITM1,1.5138714894425974e-46
ARRDC3,2.9750644907044245e-46
DUSP8,3.898085468414737e-46
N4BP1,3.132864428941832e-46
ZBTB43,7.982442338871594e-46
PARP9,1.0744794137544545e-45
IFIH1,3.727652002612211e-45
HLA-B,5.8649295680594e-45
CXCL1,1.8869548615379416e-44
BHLHE41,3.0847360146846827e-44
CXCL8,1.6843653181238675e-43
USP18,6.609084318171323e-43
OASL,6.944166740118841e-43
NCOA7,7.426085787894112e-43
CXCL2,2.5739227351083778e-42
TNFSF10,3.8339481410867366e-41
ABL2,5.775749645251242e-41
PLSCR1,5.612414377694458e-41
TENT5A,6.087013991290825e-40
SP100,1.4471680093165652e-39
MYCBP2,1.2730089881362656e-39
DAPP1,1.6853442345238425e-39
CFLAR,1.754304931462386e-39
PPM1K,4.1468784428702704e-39
RAB3IP,4.949119044060566e-39
CHD2,4.348222216929355e-39
SP110,1.3378528476699468e-38
TYMP,1.8771801139521538e-38
ATF3,2.465743583508289e-38
DDX60,4.5680914526264326e-38
CXCL3,5.770155515912226e-38
TRIM38,4.969989690587312e-38
KLF5,5.651021909540011e-38
HIST1H2BG,2.048377577212926e-37
MAST4,1.7804417223016343e-37
STAT2,4.4599833403430415e-37
RHOV,4.3830174285888205e-37
AKAP13,1.0738211038229089e-35
BCL3,6.012552717662074e-35
PER1,7.415585242095571e-35
DDX60L,1.695363244980276e-34
SHFL,1.6912299033949332e-34
WARS,2.5521049025607282e-34
KDM6B,3.486951389986695e-34
PML,4.914433796126213e-34
SOX4,5.052258873153284e-34
CCNI,1.4233392006989864e-33
SERTAD2,3.0225105583005686e-33
H3F3B,1.893988989198004e-33
PHACTR4,1.39890664488415e-32
SAMHD1,1.855681762525378e-32
SAMD9L,3.190917704683346e-32
KRT6B,3.285838382693416e-32
NEDD4L,1.803797605710636e-31
TRAF4,1.7636205744543067e-31
MACC1,2.76217863386875e-31
PRPF38B,3.0126370607453313e-31
OVOL1,6.221091332647058e-31
TPT1,5.798791873225617e-31
GDF15,1.783333011206116e-30
VMP1,3.0690892623631243e-30
ZC3HAV1,8.749916414570196e-30
ICAM1,1.2589013976424742e-29
EFNA1,1.6690441595379276e-29
RTP4,2.0310179773603835e-29
CMPK2,2.2880190631731927e-29
SERTAD1,2.657225077600345e-29
IFNGR2,3.0296313723812185e-29
HERC5,3.701744847848829e-29
EREG,4.180330639280555e-29
JMJD1C,9.824102658940821e-29
SDC4,1.2004733796841584e-28
NRIP1,1.7360034085524096e-28
ASH1L,6.996079455418654e-28
ADAR,7.102765223521788e-28
RELB,9.270242188607039e-28
TNFRSF1A,8.592053856996295e-28
SCO2,1.3096646068679102e-27
BIRC3,1.7971664260858387e-27
TAP1,1.8010670690664073e-27
CYLD,2.2346371205098457e-27
MET,2.703198080571553e-27
OPTN,2.8043874025350022e-27
TM4SF1,4.71459840778858e-27
HERC6,7.4381873978323e-27
ETS2,1.0177723728298004e-26
EPS8L1,1.0042035850679017e-26
IL32,1.604393477782106e-26
ZNF562,1.835825133194102e-26
ETV7,2.0974014923181876e-26
LYN,2.996517028612546e-26
ANKRD11,3.1571752251746884e-26
NFKB2,3.893602506978125e-26
PSMB9,3.900681319319921e-26
HDAC9,4.624772753294944e-26
ZNF750,4.6878453849189064e-26
MAFF,5.081710035490582e-26
ARID4B,4.752748913359029e-26
FOSB,5.808117238594676e-26
